iter	Passed	Remaining
0	31	6248
1	66	6625
2	103	6794
3	150	7394
4	206	8066
5	250	8112
6	286	7897
7	319	7661
8	353	7511
9	387	7371
10	424	7287
11	458	7190
12	498	7171
13	535	7115
14	582	7181
15	639	7359
16	682	7351
17	730	7387
18	762	7265
19	797	7177
20	832	7093
21	866	7011
22	899	6918
23	936	6869
24	971	6803
25	1007	6739
26	1050	6728
27	1098	6746
28	1159	6835
29	1206	6838
30	1238	6753
31	1274	6690
32	1318	6670
33	1358	6630
34	1392	6566
35	1424	6488
36	1458	6425
37	1506	6424
38	1569	6477
39	1635	6541
40	1684	6531
41	1720	6471
42	1754	6407
43	1791	6352
44	1825	6287
45	1860	6227
46	1893	6162
47	1928	6107
48	1967	6062
49	2004	6012
50	2054	6001
51	2118	6029
52	2163	6001
53	2199	5945
54	2233	5889
55	2269	5837
56	2303	5778
57	2336	5719
58	2372	5669
59	2406	5616
60	2444	5569
61	2480	5520
62	2528	5498
63	2580	5482
64	2631	5464
65	2672	5425
66	2707	5375
67	2742	5324
68	2782	5282
69	2815	5229
70	2849	5177
71	2885	5128
72	2919	5079
73	2956	5034
74	2990	4983
75	3043	4965
76	3096	4945
77	3135	4904
78	3178	4868
79	3210	4816
80	3247	4770
81	3280	4720
82	3313	4670
83	3348	4623
84	3384	4578
85	3418	4531
86	3461	4495
87	3510	4467
88	3578	4463
89	3628	4434
90	3663	4387
91	3699	4342
92	3732	4294
93	3765	4246
94	3801	4202
95	3838	4158
96	3874	4114
97	3912	4071
98	3963	4044
99	4025	4025
100	4071	3990
101	4103	3942
102	4138	3897
103	4171	3850
104	4208	3807
105	4240	3760
106	4272	3713
107	4307	3669
108	4341	3624
109	4380	3584
110	4415	3540
111	4470	3512
112	4521	3480
113	4570	3447
114	4603	3402
115	4640	3360
116	4674	3316
117	4708	3271
118	4742	3228
119	4775	3183
120	4809	3140
121	4847	3099
122	4892	3062
123	4934	3024
124	4992	2995
125	5035	2957
126	5069	2913
127	5107	2872
128	5142	2830
129	5179	2788
130	5214	2746
131	5251	2705
132	5290	2664
133	5327	2623
134	5377	2589
135	5430	2555
136	5475	2518
137	5516	2478
138	5552	2436
139	5590	2395
140	5626	2354
141	5666	2314
142	5702	2272
143	5740	2232
144	5775	2190
145	5817	2151
146	5862	2113
147	5929	2083
148	5974	2044
149	6007	2002
150	6042	1960
151	6079	1919
152	6112	1877
153	6147	1836
154	6180	1794
155	6214	1752
156	6250	1712
157	6303	1675
158	6355	1638
159	6406	1601
160	6439	1559
161	6475	1518
162	6509	1477
163	6545	1436
164	6577	1395
165	6612	1354
166	6647	1313
167	6683	1272
168	6722	1233
169	6761	1193
170	6815	1155
171	6869	1118
172	6911	1078
173	6943	1037
174	6977	996
175	7012	956
176	7047	915
177	7083	875
178	7118	835
179	7157	795
180	7193	755
181	7247	716
182	7331	681
183	7372	641
184	7406	600
185	7444	560
186	7480	520
187	7514	479
188	7551	439
189	7587	399
190	7622	359
191	7662	319
192	7720	280
193	7779	240
194	7827	200
195	7863	160
196	7901	120
197	7937	80
198	7973	40
199	8008	0
